"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"1360","CD524","SearchQuery","partial","yes","yes","EG168","EX200","ES1282","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","11","0.212809917","0.150755672","0.045454545",NA,"8","0.231404959","0.092965367","0.032868221",NA,"","",NA,"","S1035",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1361","CD524","SearchQuery","partial","yes","yes","EG168","EX200","ES1283","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","11","0.630733945","0.159745689","0.048165138",NA,"8","0.612385321","0.101570625","0.035910639",NA,"","",NA,"","S1036",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1362","CD524","SearchQuery","partial","yes","yes","EG168","EX200","ES1284","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion attacking prey","novelenvironment_feeding","proportion (group)","11","0.577272727","0.309049128","0.093181818",NA,"8","0.490909091","0.196771462","0.069569218",NA,"","",NA,"","S1037",NA,NA,NA,"positive","yes","Figure 7","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1363","CD524","SearchQuery","partial","yes","yes","EG168","EX200","ES1285","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion searching","novelenvironment_exploration","proportion (group)","11","0.1151515","0.07797954","",NA,"8","0.1625","0.121416909","0.04292736",NA,"","",NA,"","S1038",NA,NA,NA,"positive","yes","CD524_ADULVLA","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1364","CD524","SearchQuery","partial","yes","yes","EG170","EX202","ES1286","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.25","0.035786174","0.020661157",NA,"6","0.228305785","0.124734196","0.050922522",NA,"","",NA,"","S1039",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1365","CD524","SearchQuery","partial","yes","yes","EG170","EX202","ES1287","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.440366972","0.05561631","0.032110092",NA,"6","0.654816514","0.143437587","0.05855815",NA,"","",NA,"","S1040",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1366","CD524","SearchQuery","partial","yes","yes","EG170","EX202","ES1288","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion attacking prey","novelenvironment_feeding","proportion (group)","3","0.479545455","0.22044283","0.127272727",NA,"6","0.272727273","0.39394697","0.160828177",NA,"","",NA,"","S1041",NA,NA,NA,"positive","yes","Figure 7","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1367","CD524","SearchQuery","partial","yes","yes","EG170","EX202","ES1289","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion searching","novelenvironment_exploration","proportion (group)","3","0.1333333","0.05773503","",NA,"6","0.19444445","0.071232534","0.02908056",NA,"","",NA,"","S1042",NA,NA,NA,"positive","yes","CD524_ADULVLA","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1368","CD524","SearchQuery","partial","yes","yes","EG172A","EX204A","ES1290","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.270661157","0.153880547","0.088842975",NA,"6","0.333677686","0.115811268","0.047279752",NA,"","",NA,"","S1043",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1369","CD524","SearchQuery","partial","yes","yes","EG172A","EX204A","ES1291","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.29587156","0.234383022","0.135321101",NA,"6","0.616972477","0.111516016","0.045526223",NA,"","",NA,"","S1044",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1370","CD524","SearchQuery","partial","yes","yes","EG172A","EX204A","ES1292","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion attacking prey","novelenvironment_feeding","proportion (group)","3","0.629545455","0.098411978","0.056818182",NA,"6","0.314772727","0.270035007","0.11024133",NA,"","",NA,"","S1045",NA,NA,NA,"positive","yes","Figure 7","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1371","CD524","SearchQuery","partial","yes","yes","EG172A","EX204A","ES1293","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion searching","novelenvironment_exploration","proportion (group)","3","0.1","0.05773503","",NA,"6","0.2111111","0.045542002","0.018592445",NA,"","",NA,"","S1046",NA,NA,NA,"positive","yes","CD524_ADULVLA","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1372","CD524","SearchQuery","partial","yes","yes","EG172B","EX204B","ES1294","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.260330579","0.046522026","0.026859504",NA,"6","0.463842975","0.192584816","0.078622422",NA,"","",NA,"","S1047",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1373","CD524","SearchQuery","partial","yes","yes","EG172B","EX204B","ES1295","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.456422018","0.123150401","0.071100917",NA,"6","0.649082569","0.095408433","0.03895033",NA,"","",NA,"","S1048",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1374","CD524","SearchQuery","partial","yes","yes","EG172B","EX204B","ES1296","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion attacking prey","novelenvironment_feeding","proportion (group)","3","0.725","0.236188746","0.136363636",NA,"6","0.4125","0.209563448","0.085553919",NA,"","",NA,"","S1049",NA,NA,NA,"positive","yes","Figure 7","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1375","CD524","SearchQuery","partial","yes","yes","EG172B","EX204B","ES1297","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","adult","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion searching","novelenvironment_exploration","proportion (group)","3","0.06666667","0.03333333","",NA,"6","0.127777775","0.110386529","0.045065112",NA,"","",NA,"","S1050",NA,NA,NA,"positive","yes","CD524_ADULVLA","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1376","CD524","SearchQuery","partial","yes","yes","EG167","EX199","ES1298","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.23553719","0.132408843","0.076446281",NA,"6","0.363636364","0.091489507","0.037350435",NA,"","",NA,"","S1051",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1377","CD524","SearchQuery","partial","yes","yes","EG167","EX199","ES1299","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.087155963","0.063561498","0.036697248",NA,"6","0.32912844","0.073734162","0.030101846",NA,"","",NA,"","S1052",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1378","CD524","SearchQuery","partial","yes","yes","EG167","EX199","ES1300","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","novel environment","proportion foraging","novelenvironment_feeding","proportion (group)","3","0.6444444","0.09622504","",NA,"6","0.4","0.098882659","0.040368676",NA,"","",NA,"","S1053",NA,NA,NA,"positive","yes","CD524_JUVVLAR","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1379","CD524","SearchQuery","partial","yes","yes","EG169","EX201","ES1301","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.219008264","0.050100643","0.02892562",NA,"6","0.41322314","0.076116106","0.03107427",NA,"","",NA,"","S1054",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1380","CD524","SearchQuery","partial","yes","yes","EG169","EX201","ES1302","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.22706422","0.035753342","0.020642202",NA,"6","0.447247706","0.103623031","0.042303925",NA,"","",NA,"","S1055",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1381","CD524","SearchQuery","partial","yes","yes","EG169","EX201","ES1303","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion foraging","novelenvironment_feeding","proportion (group)","3","0.5888889","0.03849002","",NA,"6","0.3111111","0.091084029","0.037184899",NA,"","",NA,"","S1056",NA,NA,NA,"positive","yes","CD524_JUVVLAR","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1382","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1304","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.280991736","0.075150965","0.04338843",NA,"6","0.536157025","0.117589032","0.048005521",NA,"","",NA,"","S1057",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1383","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1305","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.043577982","0.04369853","0.025229358",NA,"6","0.667431193","0.054411482","0.022213395",NA,"","",NA,"","S1058",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1384","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1306","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion foraging","novelenvironment_feeding","proportion (group)","3","0.6555556","0.05091751","",NA,"6","0.12777775","0.038968166","0.015908687",NA,"","",NA,"","S1059",NA,NA,NA,"positive","yes","CD524_JUVVLAR","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
"1385","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1307","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion remaining in water refuge","novelenvironment_refugeuse","proportion (group)","3","0.309917355","0.021471704","0.012396694",NA,"6","0.712809917","0.101167962","0.041301648",NA,"","",NA,"","S1060",NA,NA,NA,"negative","yes","Figure 3","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1386","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1308","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion moving into air refuge","novelenvironment_refugeuse","proportion (group)","3","0.116972477","0.023835562","0.013761468",NA,"6","0.366972477","0.269574944","0.11005351",NA,"","",NA,"","S1061",NA,NA,NA,"negative","yes","Figure 5","figure","","",2190,"non-systematic",0,7.691657,0.01598174
"1387","CD524","SearchQuery","partial","yes","yes","EG171","EX203","ES1309","Vadas Sr","1994","Oecologia","dogwhelk","Nucella lapillus","gastropod","wild","lab","unknown","juvenile","starvation","restrict",35,0,"continuous","unknown","no","Both","predator response","proportion foraging","novelenvironment_feeding","proportion (group)","3","0.57777778","0.01924501","",NA,"6","0.105555555","0.03277307","0.01337955",NA,"","",NA,"","S1062",NA,NA,NA,"positive","yes","CD524_JUVVLAR","author correspondence","","",2190,"non-systematic",0,7.691657,0.01598174
